Features,importance
Patent_#,0.05063528635793129
Funder_Type_1,0.03824304297542419
Duration,0.034442248321168024
claims_#,0.027291505628923636
logP,0.027226082595343825
Polarizability,0.024524048020771766
MW,0.024476224254192304
Refractivity,0.023860663278437753
PSA,0.022367302171611026
Country_1,0.02165711636441793
Allocation_Type_3,0.019618345135985652
Funder_Type_2,0.015024121933059712
Allocation_Type_1,0.014255606307745852
Bond_#,0.013535454856934586
Intervention_Model_5,0.012884738056108815
HBA,0.011992253487366844
HBD,0.011226503960930279
Rings,0.010162190919427721
Country_0,0.010154337347739503
Intervention_Model_3,0.01014271927110883
Funder_Type_4,0.007673429690167548
PCT_code_2,0.007546565755095789
PCT_code_1,0.0072796466901747315
Intervention_Model_1,0.0066524517797743234
Age_code_1,0.006349316503444589
Intervention_Model_0,0.00618270022667432
ECFP4.45,0.00567385506376214
ECFP4.64,0.005540458037843977
CPC_code_5,0.005479815358361761
ECFP4.9,0.005418536563748567
ECFP4.60,0.005322917716722717
ECFP4.87,0.005293232685630161
ECFP4.1,0.005176071187214178
ECFP4.108,0.005004080017696386
ECFP4.124,0.004963192241972323
ECFP4.123,0.004876629177426782
ECFP4.74,0.0048710100963762805
ECFP4.91,0.00474994196262952
ECFP4.6,0.004648920386025085
ECFP4.75,0.004630739812801339
ECFP4.37,0.004574035027178398
ECFP4.56,0.00453835669072103
ECFP4.28,0.0044496576935928
ECFP4.73,0.004422773239247013
ECFP4.62,0.0044057920358534
ECFP4.103,0.0044017946269400785
ECFP4.97,0.004363411965683597
ECFP4.17,0.00434652133213857
ECFP4.65,0.004331795328185329
ECFP4.128,0.0043292299419903065
ECFP4.31,0.004250362945262252
ECFP4.20,0.0042483826800150636
ECFP4.39,0.004246897111693708
ECFP4.70,0.004223726581222386
ECFP4.72,0.00421189567844009
ECFP4.80,0.004169735968992033
ECFP4.71,0.004085431783614862
Funder_Type_3,0.004079230850136299
ECFP4.50,0.004063124050304602
ECFP4.106,0.004057700180893449
ECFP4.14,0.004044520403334844
ECFP4.111,0.004043191154670414
ECFP4.2,0.004019170010644905
ECFP4.81,0.003967621286390503
ECFP4.69,0.003942571606338572
ECFP4.48,0.0039338628278154765
ECFP4.120,0.003922608684572497
ECFP4.59,0.003922253165269681
ECFP4.46,0.00392040651110236
ECFP4.33,0.003918884096675985
Allocation_Type_0,0.003914928079352534
ECFP4.122,0.0039061859309206214
ECFP4.38,0.0038962937292793863
ECFP4.66,0.003885082301112881
ECFP4.118,0.0038840469532313805
ECFP4.95,0.003859134244409027
ECFP4.55,0.0038254713626577337
ECFP4.76,0.0038241847306826815
ECFP4.18,0.0038043337028901103
Country_2,0.0037863289956037664
ECFP4.13,0.0037802892816924546
ECFP4.115,0.0037795348588021143
ECFP4.49,0.003752604462382202
ECFP4.100,0.003751440615927354
ECFP4.79,0.003751241060554376
ECFP4.114,0.0037466954858619245
ECFP4.15,0.0037390876759001257
ECFP4.4,0.003705167101249799
ECFP4.85,0.00369039180785918
ECFP4.119,0.0036810055441910488
ECFP4.67,0.0036809518129435103
ECFP4.3,0.003677046949260769
ECFP4.5,0.003671424860009846
ECFP4.7,0.0036664765583317733
ECFP4.51,0.0036647170337460876
ECFP4.29,0.003650824892444537
ECFP4.82,0.0036463207189828643
ECFP4.83,0.003635392602549842
ECFP4.107,0.0036267115506179626
ECFP4.89,0.003624269415224662
ECFP4.126,0.0035739880041036963
ECFP4.36,0.0035562252324777303
ECFP4.30,0.00353294539127455
ECFP4.44,0.0035307686545708334
Age_code_5,0.003526359813941812
ECFP4.32,0.0035203962347489337
ECFP4.109,0.0035151758990350623
ECFP4.99,0.003488185463381391
ECFP4.42,0.0034801194586842276
ECFP4.117,0.0034694328987451128
ECFP4.121,0.0034347438656681046
ECFP4.23,0.003394627656351556
ECFP4.34,0.0033908381695835553
ECFP4.78,0.0033837874914187304
ECFP4.16,0.003344693094100628
Gender_code_0,0.0033422637689782602
ECFP4.53,0.00334097352838113
CPC_code_4,0.0033343498503918896
ECFP4.104,0.003331840573278168
ECFP4.19,0.003326377725253319
ECFP4.35,0.0033144489774249142
ECFP4.102,0.0033141081990658533
ECFP4.105,0.0033083936194217055
ECFP4.88,0.0032761181518371364
ECFP4.8,0.0032703573622544714
ECFP4.27,0.0032405077115497615
ECFP4.68,0.0032273874332681015
ECFP4.125,0.003214423228062227
ECFP4.54,0.003194182047878152
ECFP4.63,0.003178314359128195
ECFP4.98,0.003162215215492949
ECFP4.86,0.003161390709698243
Funder_Type_5,0.0031384331399624894
ECFP4.110,0.003134484538404675
ECFP4.58,0.0031296418569211294
Bioavailability_2,0.0031231226866181906
ECFP4.47,0.0030557924833782314
ECFP4.11,0.003054139385536093
ECFP4.92,0.002996378704290057
ECFP4.116,0.0029900324659052607
ECFP4.12,0.002979153989597903
ECFP4.10,0.0029786333740943723
ECFP4.41,0.0029759133464589893
ECFP4.112,0.002962930914418952
ECFP4.127,0.002921536447266445
ECFP4.96,0.002911292004769839
ECFP4.43,0.0028667689057689278
ECFP4.22,0.0028630351558865206
ECFP4.101,0.002807555290041542
ECFP4.57,0.0027590870626519113
ECFP4.84,0.0027531733680822208
Bioavailability_1,0.002704158011617138
ECFP4.94,0.002699922539881561
ECFP4.90,0.0026695599570909297
ECFP4.113,0.002623456312774838
PCT_code_0,0.002612952930101763
ECFP4.25,0.0025971543843426137
Allocation_Type_2,0.0025690271537944704
ECFP4.61,0.0025669255335683976
CPC_code_0,0.002562249493534666
ECFP4.93,0.002535398036365315
ECFP4.40,0.0024952302818446598
ECFP4.24,0.0024931783777026634
ECFP4.52,0.002433776786641515
ECFP4.77,0.002294439464966258
Age_code_4,0.002059773343302143
Country_4,0.0020116604100925166
ECFP4.26,0.0019883540832389317
Funder_Type_0,0.0018049854300611875
ECFP4.21,0.0018016461206991025
Gender_code_3,0.0017868203929404477
Country_3,0.0017713691029522655
CPC_code_2,0.0016470652106170957
CPC_code_3,0.0015036437809913211
Age_code_0,0.0014334615768797777
Bioavailability_0,0.0012441481810413274
Gender_code_1,0.001221466563241946
Age_code_3,0.0011276911490615165
Age_code_2,0.0011040683237196636
CPC_code_1,0.0008983035179822341
Gender_code_2,0.0007440951651729909
Country_5,0.0006571813828435136
